ts_code,trade_date,open,high,low,close,vol,amount
510050.SH,20220104,3.27,3.27,3.205,3.247,5552643.59,1793352.766
510050.SH,20220105,3.242,3.277,3.226,3.241,6293083.89,2042819.697
510050.SH,20220106,3.229,3.238,3.18,3.193,7819094.36,2501908.718
510050.SH,20220107,3.199,3.223,3.199,3.207,5467259.99,1756458.794
510050.SH,20220110,3.208,3.223,3.185,3.216,4806253.29,1542651.733
510050.SH,20220111,3.216,3.233,3.192,3.196,5504840.21,1766569.573
510050.SH,20220112,3.206,3.23,3.198,3.22,5313752.5,1707418.672
510050.SH,20220113,3.226,3.234,3.164,3.166,7917415.95,2527951.59
510050.SH,20220114,3.16,3.162,3.119,3.12,7288699.66,2285226.948
510050.SH,20220117,3.118,3.143,3.117,3.131,5644913.5,1767099.986
510050.SH,20220118,3.131,3.182,3.12,3.169,11338388.23,3581074.095
510050.SH,20220119,3.176,3.186,3.156,3.169,4869956.79,1545037.752
510050.SH,20220120,3.168,3.237,3.168,3.214,7415491.41,2380332.5
510050.SH,20220121,3.211,3.22,3.189,3.206,6242965.82,2000037.066
510050.SH,20220124,3.192,3.203,3.165,3.195,6965072.8,2219540.463
510050.SH,20220125,3.179,3.181,3.125,3.129,7431757.14,2345231.42
510050.SH,20220126,3.136,3.152,3.113,3.144,8433656.39,2648454.419
510050.SH,20220127,3.145,3.145,3.098,3.107,9698175.57,3029864.609
510050.SH,20220128,3.117,3.125,3.029,3.036,11994193.08,3688024.015
510050.SH,20220207,3.082,3.111,3.074,3.095,7404357.34,2291127.709
510050.SH,20220208,3.097,3.103,3.04,3.098,6533423.23,2009339.884
510050.SH,20220209,3.1,3.129,3.09,3.12,8159284.35,2539232.371
510050.SH,20220210,3.122,3.129,3.106,3.128,5020394.03,1565474.717
510050.SH,20220211,3.119,3.155,3.112,3.123,5477670.71,1718538.694
510050.SH,20220214,3.115,3.118,3.077,3.088,5255438.0,1626756.143
510050.SH,20220215,3.085,3.11,3.08,3.1,4198538.73,1299681.942
510050.SH,20220216,3.114,3.13,3.109,3.116,4279681.4,1335079.945
510050.SH,20220217,3.112,3.14,3.112,3.119,4117645.86,1286970.867
510050.SH,20220218,3.11,3.147,3.102,3.144,3962130.97,1238739.274
510050.SH,20220221,3.139,3.14,3.109,3.13,5170776.0,1613113.68
510050.SH,20220222,3.1,3.102,3.063,3.081,6400698.4,1971297.843
510050.SH,20220223,3.089,3.101,3.072,3.1,5288407.6,1634065.799
510050.SH,20220224,3.084,3.084,3.022,3.043,6452422.58,1970707.439
510050.SH,20220225,3.055,3.088,3.047,3.056,6904135.11,2117127.007
510050.SH,20220228,3.053,3.064,3.031,3.061,3183378.66,970271.392
510050.SH,20220301,3.073,3.112,3.073,3.105,5458820.88,1687950.58
510050.SH,20220302,3.092,3.095,3.08,3.088,3233350.65,998170.253
510050.SH,20220303,3.101,3.109,3.069,3.078,3603684.46,1111193.263
510050.SH,20220304,3.05,3.06,3.031,3.046,5981769.41,1820762.167
510050.SH,20220307,3.026,3.028,2.946,2.955,7475231.53,2225462.031
510050.SH,20220308,2.965,2.985,2.899,2.915,12366473.36,3638941.39
510050.SH,20220309,2.929,2.945,2.79,2.887,12421483.93,3580232.451
510050.SH,20220310,2.942,2.948,2.909,2.913,10781328.03,3160686.53
510050.SH,20220311,2.881,2.929,2.832,2.922,10361809.01,2987125.612
510050.SH,20220314,2.88,2.901,2.83,2.832,9301740.51,2669001.144
510050.SH,20220315,2.8,2.813,2.683,2.687,15065340.0,4126797.494
510050.SH,20220316,2.72,2.822,2.673,2.81,16251019.81,4455049.406
510050.SH,20220317,2.866,2.899,2.841,2.857,10791913.26,3093930.125
510050.SH,20220318,2.846,2.91,2.836,2.891,8830876.33,2537726.619
510050.SH,20220321,2.898,2.899,2.849,2.874,8743420.04,2510854.229
510050.SH,20220322,2.865,2.906,2.863,2.882,4903376.74,1413958.454
510050.SH,20220323,2.892,2.909,2.873,2.899,6275029.9,1814844.0
510050.SH,20220324,2.88,2.902,2.869,2.884,2915790.3,840749.078
510050.SH,20220325,2.88,2.896,2.836,2.838,4257994.62,1218662.403
510050.SH,20220328,2.814,2.851,2.781,2.836,6760073.66,1906883.818
510050.SH,20220329,2.842,2.856,2.82,2.823,3495068.51,991126.252
510050.SH,20220330,2.842,2.899,2.842,2.898,7433085.76,2137583.35
510050.SH,20220331,2.89,2.896,2.877,2.881,5492682.86,1584805.677
510050.SH,20220401,2.863,2.939,2.858,2.923,7765688.4,2254310.098
510050.SH,20220406,2.904,2.921,2.889,2.911,8255949.59,2398340.842
510050.SH,20220407,2.899,2.93,2.879,2.884,5322913.55,1543673.755
510050.SH,20220408,2.885,2.915,2.873,2.909,5358440.31,1551172.028
510050.SH,20220411,2.897,2.897,2.823,2.832,7152072.0,2034586.74
510050.SH,20220412,2.832,2.878,2.812,2.876,8341404.64,2377636.364
510050.SH,20220413,2.861,2.895,2.856,2.866,5107813.12,1468231.736
510050.SH,20220414,2.89,2.928,2.881,2.911,7633661.63,2218710.405
510050.SH,20220415,2.895,2.928,2.89,2.914,8478055.36,2471210.228
510050.SH,20220418,2.889,2.89,2.856,2.871,6604404.74,1896478.657
510050.SH,20220419,2.868,2.882,2.823,2.844,6117138.66,1743034.539
510050.SH,20220420,2.846,2.849,2.81,2.816,5419702.9,1531785.272
510050.SH,20220421,2.804,2.829,2.763,2.78,8308242.07,2325792.515
510050.SH,20220422,2.758,2.808,2.751,2.795,6094221.17,1699084.224
510050.SH,20220425,2.74,2.758,2.66,2.662,12434371.48,3378722.469
510050.SH,20220426,2.66,2.713,2.65,2.664,12322148.96,3297143.247
510050.SH,20220427,2.662,2.718,2.658,2.714,13866747.94,3739354.461
510050.SH,20220428,2.706,2.754,2.703,2.749,10805321.44,2952175.457
510050.SH,20220429,2.761,2.807,2.725,2.793,8757636.75,2424102.314
510050.SH,20220505,2.793,2.812,2.781,2.781,7757035.81,2166992.125
510050.SH,20220506,2.743,2.748,2.697,2.703,9768213.46,2653636.946
510050.SH,20220509,2.687,2.699,2.661,2.677,6909343.26,1848751.782
510050.SH,20220510,2.649,2.72,2.628,2.701,8519658.52,2284312.005
510050.SH,20220511,2.695,2.751,2.695,2.722,9274502.34,2530197.205
510050.SH,20220512,2.71,2.722,2.696,2.702,5188620.21,1405084.096
510050.SH,20220513,2.72,2.743,2.711,2.729,3986972.64,1087246.321
510050.SH,20220516,2.745,2.747,2.691,2.702,5922818.58,1605527.653
510050.SH,20220517,2.711,2.738,2.708,2.737,4675288.42,1274458.663
510050.SH,20220518,2.747,2.747,2.702,2.728,5689127.02,1550360.229
510050.SH,20220519,2.699,2.734,2.696,2.726,4461151.59,1210351.78
510050.SH,20220520,2.742,2.795,2.74,2.793,8922726.37,2474674.295
510050.SH,20220523,2.798,2.798,2.751,2.763,7093710.06,1961050.478
510050.SH,20220524,2.764,2.769,2.716,2.72,7121112.9,1952134.682
510050.SH,20220525,2.721,2.734,2.711,2.725,6089973.28,1657074.325
510050.SH,20220526,2.73,2.753,2.698,2.725,5458059.17,1484799.595
510050.SH,20220527,2.747,2.773,2.735,2.744,5396186.99,1487042.432
510050.SH,20220530,2.765,2.773,2.75,2.758,6310445.23,1741725.69
510050.SH,20220531,2.758,2.801,2.752,2.792,5362546.32,1493499.919
510050.SH,20220601,2.795,2.795,2.766,2.782,5126843.41,1426047.953
510050.SH,20220602,2.767,2.779,2.759,2.777,3672026.88,1016592.218
510050.SH,20220606,2.778,2.81,2.746,2.81,5443270.21,1515472.323
510050.SH,20220607,2.808,2.851,2.8,2.829,5776688.73,1635055.97
510050.SH,20220608,2.837,2.875,2.834,2.863,5626271.7,1604535.512
510050.SH,20220609,2.86,2.88,2.845,2.853,5398185.38,1544512.144
