ts_code,name,call_put,trade_date,exercise_price,days_to_maturity,underlying_close,market_price,rf_rate_decimal,bsm_lower_bound,bsm_upper_bound,moneyness
10003543.SH,华夏上证50ETF期权2203认沽3.061,P,2022-03-18,3.061,5,2.891,0.1682,0.02046,0.169142201584763,3.060142201584763,0.9444625939235544
10003544.SH,华夏上证50ETF期权2203认沽3.159,P,2022-03-18,3.159,5,2.891,0.2652,0.02046,0.26711473858420964,3.1581147385842097,0.9151630262741375
10003545.SH,华夏上证50ETF期权2203认沽3.258,P,2022-03-18,3.258,5,2.891,0.362,0.02046,0.36608699534895717,3.257086995348957,0.887354205033763
10003546.SH,华夏上证50ETF期权2203认沽3.357,P,2022-03-04,3.357,19,3.046,0.3055,0.0209375,0.30734320802302406,3.353343208023024,0.9073577599046767
10003546.SH,华夏上证50ETF期权2203认沽3.357,P,2022-03-18,3.357,5,2.891,0.4622,0.02046,0.4650592521137047,3.3560592521137047,0.861185582365207
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-02-08,3.455,43,3.098,0.347,0.024104,0.34720292832368793,3.445202928323688,0.896671490593343
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-02-18,3.455,33,3.144,0.3023,0.0232685,0.3037392618271766,3.4477392618271767,0.909985528219971
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-02-24,3.455,27,3.043,0.4056,0.023025,0.40612038629651037,3.4491203862965105,0.8807525325615051
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-02-28,3.455,23,3.061,0.388,0.02304125,0.3889872757086361,3.449987275708636,0.8859623733719247
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-03-01,3.455,22,3.105,0.343,0.02174,0.34547568433188447,3.4504756843318845,0.8986975397973951
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-03-04,3.455,19,3.046,0.4051,0.0209375,0.40523645627630245,3.4512364562763023,0.8816208393632416
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-03-10,3.455,13,2.913,0.5375,0.020777143,0.5394442187031316,3.4524442187031315,0.8431259044862517
10003547.SH,华夏上证50ETF期权2203认沽3.455,P,2022-03-18,3.455,5,2.891,0.5605,0.02046,0.5630317891131518,3.454031789113152,0.8367583212735167
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-01-14,3.554,68,3.12,0.4154,0.024739667,0.41765718491490045,3.5376571849149006,0.8778840742824987
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-01-27,3.554,55,3.107,0.425,0.0243425,0.433987637177744,3.5409876371777442,0.8742262239729883
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-02-08,3.554,43,3.098,0.4448,0.024104,0.44592220181255726,3.543922201812557,0.8716938660664041
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-02-18,3.554,33,3.144,0.399,0.0232685,0.40253121173192064,3.5465312117319208,0.8846370287000563
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-03-01,3.554,22,3.105,0.4412,0.02174,0.4443460440276459,3.549346044027646,0.8736634777715251
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-03-04,3.554,19,3.046,0.5024,0.0209375,0.5041286152260427,3.5501286152260425,0.8570624648283623
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-03-10,3.554,13,2.913,0.6338,0.020777143,0.6383709850277652,3.551370985027765,0.8196398424310636
10003548.SH,华夏上证50ETF期权2203认沽3.554,P,2022-03-18,3.554,5,2.891,0.659,0.02046,0.6620040458778989,3.553004045877899,0.8134496342149691
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-05,3.653,77,3.241,0.3768,0.024846167,0.3929028196995348,3.633902819699535,0.887215986860115
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-07,3.653,75,3.207,0.4218,0.024825,0.42741339261723654,3.6344133926172364,0.8779085683000273
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-10,3.653,72,3.216,0.4181,0.024787,0.4191822867951953,3.6351822867951955,0.8803722967424036
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-13,3.653,69,3.166,0.4621,0.0247445,0.4699521654646275,3.6359521654646274,0.8666849165069805
10003572.SH,华夏上证50ETF期权2203认沽3.653,P,2022-01-14,3.653,68,3.12,0.5107,0.024739667,0.5162019404879383,3.6362019404879384,0.8540925266903915
