model,n,mean_error,mae,rmse,median_abs_error,mape,smape,mape_price_floor_0_01,bias_ratio,correlation_market_model
garch_1_2,53049,-0.008643119918650704,0.011124414673414317,0.018035426863705486,0.005925134174128099,0.2612564166597051,0.3889443050512662,0.15879405780116254,-0.2178844420031107,0.9941072483170786
garch_2_1,53049,-0.00864085059813526,0.011128402954959428,0.01804202114186518,0.005929656004849353,0.2613742737540734,0.38910069216424475,0.1588884869561985,-0.21782837175622036,0.9941002430482793
garch_1_1,53049,-0.008641656972577839,0.011128895478384608,0.018042642988903165,0.0059302071920781865,0.26138199349696145,0.38911444062536044,0.15889517712790693,-0.21784227231543732,0.9941000384668326
garch_2_2,53049,-0.00878846496418263,0.01122379856957632,0.01816682346807795,0.005986185043722635,0.26286297357465577,0.39168228905332153,0.1601963679826633,-0.22024633930832646,0.9940534707208419
stochastic_volatility,50769,-0.006324820799640171,0.012058095668698502,0.018778968187259364,0.007304071333704434,0.2991862350468865,0.4249881703811769,0.18901343116071137,-0.19042086580424383,0.992406151603603
historical_60d,48344,-0.005271241329350075,0.013526483854303111,0.021724397452936715,0.007529611876098985,0.31708680831983715,0.439497974137947,0.20476739342258332,-0.17270895699696334,0.9885563244691759
historical_30d,50769,-0.006645881426406852,0.01533528409713159,0.024420606996414733,0.008836870625932136,0.35174700623414645,0.48913065707270603,0.23693016124362998,-0.1956931250836935,0.9865228675780392
historical_10d,52378,-0.00802383855594555,0.018758027939864648,0.031637227616304615,0.00999782199087816,0.42494659063250745,0.5625420751710605,0.2952869461612279,-0.19349845754392206,0.9774854415467251
historical_5d,52639,-0.009526151987362895,0.022780002775015632,0.03894996850094213,0.012296299538680971,0.49297228577540647,0.6520074005375341,0.3524549140988426,-0.20048203694217173,0.9663024159243461
historical_3d,52911,-0.012709762011944766,0.026421558406094756,0.04404729400148068,0.014854036623048808,0.5587986137889048,0.7535678910494894,0.4070157264592429,-0.23274100593597055,0.9583040683168925
