ts_code,name,list_date,delist_date,exercise_price,call_put
10011437.SH,华夏上证50ETF期权2612认沽2.95,20260423,20261223,2.95,P
10011440.SH,华夏上证50ETF期权2612认沽3.20,20260423,20261223,3.2,P
10011428.SH,华夏上证50ETF期权2612认购2.95,20260423,20261223,2.95,C
10011442.SH,华夏上证50ETF期权2612认沽3.40,20260423,20261223,3.4,P
10011430.SH,华夏上证50ETF期权2612认购3.10,20260423,20261223,3.1,C
10011431.SH,华夏上证50ETF期权2612认购3.20,20260423,20261223,3.2,C
10011426.SH,华夏上证50ETF期权2612认购2.85,20260423,20261223,2.85,C
10011436.SH,华夏上证50ETF期权2612认沽2.90,20260423,20261223,2.9,P
10011434.SH,华夏上证50ETF期权2612认沽2.80,20260423,20261223,2.8,P
10011435.SH,华夏上证50ETF期权2612认沽2.85,20260423,20261223,2.85,P
10011427.SH,华夏上证50ETF期权2612认购2.90,20260423,20261223,2.9,C
10011531.SH,华夏上证50ETF期权2612认购3.50,20260506,20261223,3.5,C
10011441.SH,华夏上证50ETF期权2612认沽3.30,20260423,20261223,3.3,P
10011532.SH,华夏上证50ETF期权2612认沽3.50,20260506,20261223,3.5,P
10011433.SH,华夏上证50ETF期权2612认购3.40,20260423,20261223,3.4,C
10011439.SH,华夏上证50ETF期权2612认沽3.10,20260423,20261223,3.1,P
10011432.SH,华夏上证50ETF期权2612认购3.30,20260423,20261223,3.3,C
10011425.SH,华夏上证50ETF期权2612认购2.80,20260423,20261223,2.8,C
10011438.SH,华夏上证50ETF期权2612认沽3.00,20260423,20261223,3.0,P
10011429.SH,华夏上证50ETF期权2612认购3.00,20260423,20261223,3.0,C
10011783.SH,50ETF购12月2750,20260602,20261223,2.75,C
10011784.SH,50ETF沽12月2750,20260602,20261223,2.75,P
10011484.SH,华夏上证科创板50ETF期权2612认购1.60,20260423,20261223,1.6,C
10011523.SH,华夏上证科创板50ETF期权2612认购1.80,20260428,20261223,1.8,C
10011488.SH,华夏上证科创板50ETF期权2612认沽1.35,20260423,20261223,1.35,P
10011493.SH,华夏上证科创板50ETF期权2612认沽1.60,20260423,20261223,1.6,P
10011486.SH,华夏上证科创板50ETF期权2612认购1.70,20260423,20261223,1.7,C
10011565.SH,华夏上证科创板50ETF期权2612认购1.90,20260507,20261223,1.9,C
10011624.SH,华夏上证科创板50ETF期权2612认沽2.05,20260514,20261223,2.05,P
10011535.SH,华夏上证科创板50ETF期权2612认购1.85,20260506,20261223,1.85,C
10011515.SH,华夏上证科创板50ETF期权2612认购1.30,20260424,20261223,1.3,C
10011567.SH,华夏上证科创板50ETF期权2612认沽1.90,20260507,20261223,1.9,P
10011516.SH,华夏上证科创板50ETF期权2612认沽1.30,20260424,20261223,1.3,P
10011496.SH,华夏上证科创板50ETF期权2612认沽1.75,20260423,20261223,1.75,P
10011536.SH,华夏上证科创板50ETF期权2612认沽1.85,20260506,20261223,1.85,P
10011664.SH,华夏上证科创板50ETF期权2612认沽2.20,20260526,20261223,2.2,P
10011494.SH,华夏上证科创板50ETF期权2612认沽1.65,20260423,20261223,1.65,P
10011524.SH,华夏上证科创板50ETF期权2612认沽1.80,20260428,20261223,1.8,P
10011491.SH,华夏上证科创板50ETF期权2612认沽1.50,20260423,20261223,1.5,P
10011566.SH,华夏上证科创板50ETF期权2612认购1.95,20260507,20261223,1.95,C
10011490.SH,华夏上证科创板50ETF期权2612认沽1.45,20260423,20261223,1.45,P
10011487.SH,华夏上证科创板50ETF期权2612认购1.75,20260423,20261223,1.75,C
10011482.SH,华夏上证科创板50ETF期权2612认购1.50,20260423,20261223,1.5,C
10011608.SH,华夏上证科创板50ETF期权2612认沽2.00,20260512,20261223,2.0,P
10011607.SH,华夏上证科创板50ETF期权2612认购2.00,20260512,20261223,2.0,C
10011480.SH,华夏上证科创板50ETF期权2612认购1.40,20260423,20261223,1.4,C
10011647.SH,华夏上证科创板50ETF期权2612认沽2.10,20260521,20261223,2.1,P
10011648.SH,华夏上证科创板50ETF期权2612认沽2.15,20260521,20261223,2.15,P
10011646.SH,华夏上证科创板50ETF期权2612认购2.15,20260521,20261223,2.15,C
